DO NOT ENTER VALUES FOR COLUMNS HIGHLIGHTED GREEN,,,,,,,,,,,
Qty,Item,Ordering Specs,Link,Vendor/Source,Other Vendor,Event/Category,If Other Category,Unit Cost,Total Cost,Physical/Not Physical,Comments
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
,,,,,,,,,$0.00,TRUE,
